Date,Open,High,Low,Close,Volume,CumulativeVolume
09-05-2022 09:07,16549.2500,16549.2500,16549.2500,16549.2500,0,0
09-05-2022 09:08,16549.2500,16549.2500,16549.2500,16549.2500,0,0
09-05-2022 09:09,16549.2500,16549.2500,16549.2500,16549.2500,0,0
09-05-2022 09:10,16549.2500,16549.2500,16549.2500,16549.2500,0,0
09-05-2022 09:11,16549.2500,16549.2500,16549.2500,16549.2500,0,0
09-05-2022 09:12,16549.2500,16549.2500,16549.2500,16549.2500,0,0
09-05-2022 09:13,16549.2500,16549.2500,16549.2500,16549.2500,0,0
09-05-2022 09:14,16549.2500,16549.2500,16549.2500,16549.2500,0,0
09-05-2022 09:15,16549.2500,16574.8000,16525.6000,16565.4000,9214466,9214466
09-05-2022 09:16,16562.0000,16589.0500,16560.1500,16560.5000,4907028,14121494
09-05-2022 09:17,16557.2500,16557.2500,16536.9000,16540.7000,3824850,17946344
09-05-2022 09:18,16538.4500,16541.1500,16503.4000,16510.4000,4539767,22486111
09-05-2022 09:19,16511.4500,16511.4500,16490.0000,16495.2000,4842627,27328738
09-05-2022 09:20,16497.1500,16497.1500,16471.7500,16486.6000,4625825,31954563
09-05-2022 09:21,16486.5000,16495.5500,16482.5000,16483.6500,2948772,34903335
09-05-2022 09:22,16481.9000,16497.1000,16476.2500,16482.9000,4458325,39361660
09-05-2022 09:23,16484.0500,16513.8000,16479.9000,16511.5000,2939935,42301595
09-05-2022 09:24,16511.9000,16512.4000,16482.0000,16488.7000,2565378,44866973
09-05-2022 09:25,16488.2000,16488.2000,16458.8500,16475.6000,3978255,48845228
09-05-2022 09:26,16474.9500,16479.7500,16465.1500,16469.3500,3998382,52843610
09-05-2022 09:27,16468.5000,16481.8000,16464.7500,16479.5500,1947143,54790753
09-05-2022 09:28,16477.3500,16477.5500,16465.5500,16465.5500,2932074,57722827
09-05-2022 09:29,16464.1000,16469.9500,16457.7500,16458.8500,2068122,59790949
09-05-2022 09:30,16457.0000,16457.0000,16441.4000,16452.2500,3492699,63283648
09-05-2022 09:31,16453.2500,16466.1000,16453.2500,16457.3000,2763503,66047151
09-05-2022 09:32,16457.2500,16460.5000,16451.6000,16457.9500,1171133,67218284
09-05-2022 09:33,16457.2500,16462.0500,16451.1000,16457.9500,2197248,69415532
09-05-2022 09:34,16457.2000,16471.5500,16453.8000,16460.4500,2224443,71639975
09-05-2022 09:35,16459.3000,16490.1500,16453.6000,16488.7500,2190930,73830905
09-05-2022 09:36,16491.8500,16504.0000,16490.2000,16495.4000,2538303,76369208
09-05-2022 09:37,16493.5500,16498.2000,16487.1000,16497.0000,2036441,78405649
09-05-2022 09:38,16497.2500,16509.6500,16497.2500,16507.2500,2104030,80509679
09-05-2022 09:39,16507.9500,16524.8500,16507.0000,16519.9000,2211927,82721606
09-05-2022 09:40,16520.2000,16520.2000,16508.8000,16518.7500,1794294,84515900
09-05-2022 09:41,16519.9000,16519.9000,16494.6500,16518.0000,1914695,86430595
09-05-2022 09:42,16519.6500,16523.6500,16516.7000,16519.9000,2147903,88578498
09-05-2022 09:43,16521.2000,16522.9500,16515.8500,16517.6000,1562825,90141323
09-05-2022 09:44,16518.3000,16525.9500,16516.7500,16519.7000,2631378,92772701
09-05-2022 09:45,16519.7000,16519.7000,16501.4000,16501.4000,1677701,94450402
09-05-2022 09:46,16500.9500,16500.9500,16485.1500,16496.6000,2560930,97011332
09-05-2022 09:47,16496.5500,16501.2500,16488.3500,16501.2500,2076764,99088096
09-05-2022 09:48,16501.1000,16527.5000,16501.1000,16526.7500,1700636,100788732
09-05-2022 09:49,16527.6500,16548.8000,16527.6500,16544.1500,1860143,102648875
09-05-2022 09:50,16545.9500,16550.1000,16538.4000,16538.4000,1720516,104369391
09-05-2022 09:51,16538.2000,16543.4500,16526.6000,16526.6000,1433437,105802828
09-05-2022 09:52,16525.8500,16531.7000,16519.7000,16529.3000,2084235,107887063
