Date,Open,High,Low,Close,Volume,CumulativeVolume
09-05-2022 09:07,2204.8700,2206.3300,2204.3100,2204.8700,0,0
09-05-2022 09:08,2204.7500,2204.7500,2204.7500,2204.7500,0,0
09-05-2022 09:09,2204.7500,2204.7500,2204.7100,2204.7100,0,0
09-05-2022 09:10,2204.7100,2204.7100,2204.7100,2204.7100,0,0
09-05-2022 09:11,2204.7100,2204.7100,2204.7100,2204.7100,0,0
09-05-2022 09:12,2204.7100,2205.0300,2204.7100,2205.0300,0,0
09-05-2022 09:13,2205.0300,2205.0300,2205.0300,2205.0300,0,0
09-05-2022 09:14,2205.0300,2205.0300,2204.9500,2204.9500,0,0
09-05-2022 09:15,2204.9500,2204.9500,2204.9500,2204.9500,0,0
09-05-2022 09:16,2204.9500,2204.9500,2204.7900,2204.7900,0,0
09-05-2022 09:17,2204.7900,2204.7900,2204.7900,2204.7900,0,0
09-05-2022 09:18,2204.7900,2204.7900,2204.5500,2204.5500,0,0
09-05-2022 09:19,2204.5500,2204.5500,2204.5500,2204.5500,0,0
09-05-2022 09:20,2204.5500,2204.5500,2204.5500,2204.5500,0,0
09-05-2022 09:21,2204.5500,2204.5500,2204.5500,2204.5500,0,0
09-05-2022 09:22,2204.5500,2204.5500,2204.5500,2204.5500,0,0
09-05-2022 09:23,2204.5500,2204.5500,2204.5500,2204.5500,0,0
09-05-2022 09:24,2204.5500,2204.5500,2204.5500,2204.5500,0,0
09-05-2022 09:25,2204.5500,2204.5500,2204.5500,2204.5500,0,0
09-05-2022 09:26,2204.5500,2204.5500,2204.5500,2204.5500,0,0
09-05-2022 09:27,2204.5500,2205.1900,2204.5500,2205.1900,0,0
09-05-2022 09:28,2205.1900,2205.1900,2205.0300,2205.0300,0,0
09-05-2022 09:29,2205.0300,2205.0300,2204.9500,2204.9500,0,0
09-05-2022 09:30,2204.9500,2204.9500,2204.9500,2204.9500,0,0
09-05-2022 09:31,2204.9500,2204.9500,2204.9500,2204.9500,0,0
09-05-2022 09:32,2204.9500,2204.9500,2203.8300,2204.3100,0,0
